n_trades,gross_profit,gross_loss,net_profit,profit_factor,win_rate,avg_win,avg_loss,expectancy,max_drawdown,max_drawdown_pct,sharpe,sortino,calmar,avg_bars_held,avg_mae,avg_mfe,max_consec_win,max_consec_loss,trades_per_month,top_month_share,deflated_sharpe,symbol,variant,kind
819,126166.24846472483,158504.20466481528,-32337.95620009045,0.7959804519477911,0.47496947496947495,324.33482895816155,-368.6144294530588,-39.48468400499445,-33829.00624945383,-0.33398466225632334,-1.7728381240613535,-8.206778613448641,-0.9559239181201945,2.7545787545787546,24.635531135531135,24.01068376068376,6,10,13.209677419354838,0.0,-1.7728381240613535,MNQ,strategy__cost=fixed_tick__slip=2x__conf=0.65,strategy
1207,143570.9195519982,199506.2354759094,-55935.315923911185,0.7196312396428058,0.4647887323943662,255.91964269518397,-308.83318185125296,-46.34243241417662,-55750.399246951725,-0.5593091034795952,-2.4822957688887333,-7.327430326298646,-1.0033168673131891,2.8376139188069596,25.460646230323114,23.366197183098592,7,9,19.158730158730158,0.0,-2.4822957688887333,MNQ,strategy__cost=fixed_tick__slip=3x__conf=0.50,strategy
816,111485.59380266946,152329.6177050189,-40844.023902349436,0.7318707647422678,0.4681372549019608,291.8471041954698,-350.9899025461265,-50.053950860722345,-42169.82682588393,-0.4166645390261994,-2.401118394189486,-8.942766804411466,-0.9685603896594445,2.763480392156863,24.824754901960784,23.844975490196077,6,10,13.161290322580646,0.0,-2.401118394189486,MNQ,strategy__cost=fixed_tick__slip=3x__conf=0.65,strategy
1214,4353.8820446996415,147133.64808343636,-142779.7660387367,0.02959134162316595,0.1400329489291598,25.61107085117436,-140.9326131067398,-117.61100991658708,-141872.58214732513,-1.4321406525926788,-10.512305885002506,-10.33212815350632,-1.006394356666248,2.831136738056013,25.077429983525537,23.671952224052717,4,32,19.26984126984127,0.0,-10.512305885002506,MNQ,strategy__cost=roll_spread__slip=1x__conf=0.50,strategy
821,3015.6027125453707,119723.20108945147,-116707.5983769061,0.025188122979540584,0.1315468940316687,27.922247338383062,-167.9147280356963,-142.15298218867977,-115722.62094481048,-1.1687380151375308,-11.099692031039462,-10.956371415941092,-1.0085115375373788,2.745432399512789,24.532886723507918,24.159561510353228,4,32,13.241935483870968,0.0,-11.099692031039462,MNQ,strategy__cost=roll_spread__slip=1x__conf=0.65,strategy
1214,207280.98363653658,236156.70185908274,-28875.718222546173,0.8777264502966483,0.47364085667215816,360.48866719397665,-369.57230337884624,-23.78559985382716,-29625.562338491553,-0.29582679816634483,-1.017358329923533,-5.483970780735305,-0.9746892866579909,2.831136738056013,25.077429983525537,23.671952224052717,7,9,19.26984126984127,0.0,-1.017358329923533,MNQ,strategy__cost=impact__slip=1x__conf=0.50,strategy
821,148523.56718681514,165992.38013838493,-17468.812951569755,0.894761356292341,0.47990255785627284,376.9633684944547,-388.7409370922364,-21.277482279622113,-22047.244946517923,-0.21737722674994184,-0.8703776502286404,-5.282800023170924,-0.7923354139687521,2.745432399512789,24.532886723507918,24.159561510353228,6,10,13.241935483870968,0.0,-0.8703776502286404,MNQ,strategy__cost=impact__slip=1x__conf=0.65,strategy
1515,295675.64285714296,317009.92857142846,-21334.285714285536,0.9327015219667529,0.49372937293729374,395.28829258976333,-413.8510816859379,-14.082036775105964,-27371.761904761806,-0.25957691916024983,-0.5409786043187899,-2.7151941816854506,-0.779426833702439,4.221122112211221,43.347524752475245,40.8013201320132,9,10,20.2,0.0,-0.5409786043187899,MNQ,baseline__buy_and_hold_intraday,baseline
30050,1460247.7130066638,1583051.4276758195,-122803.7146691555,0.9224259474315046,0.49417637271214643,98.33317932704807,-104.2990794357504,-4.086646078840449,-123997.51187552401,-1.2453465066280127,-0.4634189323520519,-0.6490118696685316,-0.990372409991848,2.9588352745424293,25.803851913477537,25.603036605657238,15,11,400.6666666666667,0.0,-0.4634189323520519,MNQ,baseline__prior_bar_momentum,baseline
30037,1180054.8720622074,1324269.4371839222,-144214.56512171484,0.891098774107187,0.48866398108998904,80.39616242418636,-86.26600463708698,-4.801230652918562,-149330.9987045669,-1.4594497463740046,-0.7126595944458155,-1.0887361484086453,-0.9657376323252594,2.9609481639311515,26.01034557379232,25.38167926224323,11,15,400.49333333333334,0.0,-0.7126595944458155,MNQ,baseline__prior_bar_mean_reversion,baseline
11278,904655.0178949223,987299.1063437128,-82644.0884487904,0.9162927547307844,0.4947685759886505,162.12455517830148,-173.57579225452054,-7.327902859442312,-85382.20052832483,-0.8342000317900855,-0.5871070422122926,-1.0530906198345305,-0.967931113714666,2.6467458769285335,22.888211562333748,22.91443518354318,13,17,150.37333333333333,0.0,-0.5871070422122926,MNQ,baseline__atr_breakout,baseline
22860,954395.7005081361,1088120.666052496,-133724.96554436014,0.8771046541837222,0.4830708661417323,86.42540075234412,-92.13553480546113,-5.849736025562561,-135907.88033135943,-1.3470231970320716,-0.7911843455015602,-1.1719747832493945,-0.9839382765614688,2.8564304461942256,25.063867016622922,24.37965879265092,12,17,304.8,0.0,-0.7911843455015602,MNQ,baseline__vwap_mean_reversion,baseline
