n_trades,gross_profit,gross_loss,net_profit,profit_factor,win_rate,avg_win,avg_loss,expectancy,max_drawdown,max_drawdown_pct,sharpe,sortino,calmar,avg_bars_held,avg_mae,avg_mfe,max_consec_win,max_consec_loss,trades_per_month,top_month_share,deflated_sharpe,symbol,baseline
8365,762507.6177723416,944271.201061033,-181763.58328869136,0.8075091318209724,0.4847579199043634,188.0413360720941,-219.08844572181738,-21.729059568283486,-182408.5832886926,-1.8238122610477683,-1.4518293075664428,-2.7752997239310724,-0.9964639821856386,2.45833831440526,3.3640526001194555,3.219617453676117,13,14,111.53333333333333,0.0,-1.4518293075664428,RTY,bollinger_mean_reversion_20
1534,222941.2142857177,268498.83333333005,-45557.6190476123,0.8303247039027001,0.47783572359843546,304.1489962970228,-335.2045359966667,-29.698578257895893,-48779.309523803146,-0.4834923159702573,-1.420867112685607,-5.006001323341897,-0.9339537499066334,5.16232073011734,7.296740547587918,6.8625814863103916,8,9,20.72972972972973,0.0,-1.420867112685607,M2K,buy_and_hold_intraday
29452,507970.37837490486,655287.1276799401,-147316.7493050353,0.7751874818194373,0.4794581013173978,35.97269162062919,-42.742621334547,-5.00192684045346,-149392.86160904565,-1.4635438031193448,-1.1021734538617054,-1.1971319560290585,-0.9861030019664297,3.05123590927611,3.8226334374574686,3.6247215808774484,15,14,392.6933333333333,0.0,-1.1021734538617054,M2K,prior_bar_momentum
29238,564302.5105325592,705628.6432853959,-141326.13275283665,0.7997159921189928,0.48149668239961696,40.08399705445086,-46.54542501882559,-4.833645692346831,-141082.85024173494,-1.418209527271562,-0.9920240109047698,-1.1052493646526371,-1.0017243946424734,3.082187564128873,3.7980846843148433,3.6712087010056296,12,15,389.84,0.0,-0.9920240109047698,M2K,prior_bar_mean_reversion
10958,321815.57335795293,429423.1150232856,-107607.54166533277,0.7494137183102088,0.4730790290198941,62.07862140392611,-74.37185920043048,-9.819998326823578,-108483.68616251525,-1.0763606425653378,-1.3227788027416616,-1.49227548173575,-0.9919237211771181,2.6225588611060413,3.358277057857184,3.13736083226875,12,14,146.10666666666665,0.0,-1.3227788027416616,M2K,atr_breakout
22884,507883.47594335943,640632.2494462763,-132748.77350291697,0.7927847472279815,0.47557245236846707,46.66759863487636,-53.38157232282946,-5.800942733041294,-132223.7188497638,-1.3292163005340705,-0.998617558817481,-1.105576407563196,-1.0039709566310848,2.9185457087921693,3.624707219017565,3.483228456563627,12,14,305.12,0.0,-0.998617558817481,M2K,vwap_mean_reversion
18631,422336.11958684196,538286.8474442962,-115950.72785745429,0.7845930503262887,0.4885942783532822,46.39526744884565,-56.49526106678172,-6.223537537300966,-117302.91267854036,-1.157379220641491,-1.084646429810006,-1.1934598097682845,-0.9884727089020233,2.924480704202673,3.696908378508848,3.540572164671873,12,15,248.41333333333333,0.0,-1.084646429810006,M2K,opening_range_breakout
1562,180766.54993700606,238623.36829753174,-57856.81836052568,0.7575391765973821,0.4827144686299616,239.74343492971624,-295.32595086328183,-37.04021662005485,-60061.39951514504,-0.592268435361227,-2.083337992709551,-6.012243828847573,-0.96329454237803,3.6882202304737515,3.7483994878360165,3.6214468629962524,9,10,20.826666666666668,0.0,-2.083337992709551,M2K,random_entry_matched_holding
29396,505750.3187171457,650006.0667789549,-144255.74806180916,0.7780701512885022,0.4837733024901347,35.563625533868624,-42.834007695483024,-4.907325760709252,-145431.13775754557,-1.4383259709433343,-1.1038307147641864,-1.2085587461308065,-0.9919178952055236,3.0586134167914003,3.8018267791535383,3.6247516668935433,12,14,391.94666666666666,0.0,-1.1038307147641864,M2K,ema_crossover_9_21
7327,262625.60406776634,362693.6681589449,-100068.0640911786,0.7240975708257325,0.47495564351030434,75.46712760567998,-94.27961220664022,-13.65744016530348,-100978.33513856666,-1.0011861959892665,-1.6267758298899757,-1.9228678615648338,-0.9909854817259668,2.5766343660434012,3.4013238706154416,3.1410536372322437,10,14,97.69333333333333,0.0,-1.6267758298899757,M2K,donchian_channel_20
8408,346066.1640189064,446504.92044519953,-100438.75642629307,0.7750556559910964,0.4844196003805899,84.96591309081916,-102.99998164825826,-11.945618033574343,-100535.75642629345,-1.0050259057140487,-1.3357231448658529,-1.633392220254205,-0.9990351691433138,2.452069457659372,3.355613701236829,3.2213962892484242,14,13,112.10666666666667,0.0,-1.3357231448658529,M2K,bollinger_mean_reversion_20
