symbol,date_prev,close_prev,date_next,open_next,gap,gap_atr_mult
MGC.v.0,2025-04-29,3334.0,2025-04-30,3298.7,35.30000000000018,10.49441866078684
MGC.v.0,2025-04-30,3319.5,2025-05-01,3227.8,91.69999999999982,23.18473508200603
MGC.v.0,2025-05-01,3223.7,2025-05-02,3266.8,43.100000000000364,10.236671453646714
MGC.v.0,2025-05-02,3242.5,2025-05-05,3327.2,84.69999999999982,16.666682395562653
MGC.v.0,2025-05-05,3322.1,2025-05-06,3384.3,62.20000000000027,20.11277957080359
MGC.v.0,2025-05-06,3422.7,2025-05-07,3393.9,28.799999999999727,7.368152287145044
MGC.v.0,2025-05-07,3391.8,2025-05-08,3359.5,32.30000000000018,11.249510245354417
MGC.v.0,2025-05-08,3307.2,2025-05-09,3338.5,31.300000000000182,5.048805350609365
MGC.v.0,2025-05-09,3343.9,2025-05-12,3232.1,111.80000000000018,33.145480292163306
MGC.v.0,2025-05-13,3248.0,2025-05-14,3216.5,31.5,10.53345169395524
MGC.v.0,2025-05-15,3226.6,2025-05-16,3176.8,49.79999999999973,16.35409749110156
MGC.v.0,2025-05-16,3187.3,2025-05-19,3244.4,57.09999999999991,17.815821178324878
MGC.v.0,2025-05-22,3295.3,2025-05-23,3347.4,52.09999999999991,14.81799968935552
MGC.v.0,2025-05-23,3366.4,2025-05-26,3326.6,39.80000000000018,13.239598706649977
MGC.v.0,2025-05-26,3340.7,2025-05-27,3293.3,47.399999999999636,34.37522492131983
MGC.v.0,2025-05-30,3315.9,2025-06-02,3386.0,70.09999999999991,19.997475825994368
MGC.v.0,2025-06-02,3397.3,2025-06-03,3378.5,18.800000000000182,6.7049380336480535
MGC.v.0,2025-06-04,3399.5,2025-06-05,3419.6,20.09999999999991,8.568754515869731
MGC.v.0,2025-06-10,3343.0,2025-06-11,3359.3,16.300000000000182,6.198199365131827
MGC.v.0,2025-06-11,3344.2,2025-06-12,3403.8,59.600000000000364,17.89111971327864
MGC.v.0,2025-06-12,3402.2,2025-06-13,3448.3,46.100000000000364,14.184711418683598
MGC.v.0,2025-06-13,3452.3,2025-06-16,3433.9,18.40000000000009,5.8899107950123115
MGC.v.0,2025-06-18,3408.1,2025-06-19,3382.2,25.90000000000009,14.39408381947444
MGC.v.0,2025-06-19,3390.7,2025-06-20,3364.0,26.699999999999818,13.38071448871396
MGC.v.0,2025-06-23,3395.0,2025-06-24,3327.2,67.80000000000018,16.044020427594138
MGC.v.0,2025-06-25,3342.9,2025-06-26,3356.3,13.400000000000091,5.785483774927544
MGC.v.0,2025-06-26,3348.0,2025-06-27,3291.3,56.69999999999982,25.868610413609495
MGC.v.0,2025-06-30,3307.9,2025-07-01,3364.4,56.5,24.854240636171305
MGC.v.0,2025-07-04,3346.4,2025-07-07,3311.7,34.70000000000027,28.200506005269656
MGC.v.0,2025-07-08,3317.1,2025-07-09,3299.1,18.0,5.2129250625025065
MGC.v.0,2025-07-10,3325.8,2025-07-11,3358.9,33.09999999999991,18.109762277518968
MGC.v.0,2025-07-16,3358.5,2025-07-17,3331.7,26.800000000000182,5.691638557608035
MGC.v.0,2025-07-17,3345.5,2025-07-18,3364.4,18.90000000000009,10.813184490787807
MGC.v.0,2025-07-18,3358.1,2025-07-21,3389.5,31.40000000000009,15.584981130378065
MGC.v.0,2025-07-23,3397.8,2025-07-24,3365.1,32.70000000000027,8.01650075447102
MGC.v.0,2025-07-24,3374.4,2025-07-25,3342.3,32.09999999999991,14.824168738181145
MGC.v.0,2025-07-30,3296.4,2025-07-31,3359.9,63.5,51.592688400641364
MGC.v.0,2025-08-01,3399.6,2025-08-04,3416.3,16.700000000000273,5.720346708096184
MGC.v.0,2025-08-04,3426.4,2025-08-05,3415.2,11.200000000000273,5.532135127988188
MGC.v.0,2025-08-05,3434.8,2025-08-06,3418.8,16.0,7.117467794822283
MGC.v.0,2025-08-06,3433.7,2025-08-07,3455.2,21.5,9.806368277724872
MGC.v.0,2025-08-07,3453.5,2025-08-08,3491.5,38.0,17.806657926481428
MGC.v.0,2025-08-08,3491.2,2025-08-11,3402.7,88.5,30.556528232513408
MGC.v.0,2025-08-11,3404.9,2025-08-12,3387.9,17.0,7.6098714194414585
MGC.v.0,2025-08-15,3382.5,2025-08-18,3392.3,9.800000000000182,5.423810328474055
MGC.v.0,2025-08-19,3358.9,2025-08-20,3381.6,22.699999999999818,9.547482933500334
MGC.v.0,2025-08-20,3388.4,2025-08-21,3380.3,8.099999999999909,5.199356308075048
MGC.v.0,2025-08-21,3381.6,2025-08-22,3367.4,14.199999999999818,7.373987930534604
MGC.v.0,2025-08-25,3417.5,2025-08-26,3424.6,7.099999999999909,5.526220884663627
MGC.v.0,2025-08-27,3448.4,2025-08-28,3465.4,17.0,7.914991145281857
